businessName,businessStartDate,businessClass,latitude,longitude,recency
AH BNB,6/29/18,"3 - Service, Misc, Short Term Rental",34.98411946,-85.3322827,0.98342246
RILEY RENOVATIONS,2/4/10,4 - Contractor,34.98443499,-85.33389074,0.749121467
RIVER CITY INDUSTRIAL INC,3/9/98,"2 - Auto, Restaurant, Retail",34.98457703,-85.33163943,0.416806723
CUSTOM CARS,1/1/16,"2 - Auto, Restaurant, Retail",34.98484017,-85.29414794,0.913903743
CHECKER CAB,7/15/09,"3 - Service, Misc",34.98484017,-85.29414794,0.733537051
ADVANCE BILL PAY,10/6/15,"3 - Service, Misc",34.98490989,-85.28670045,0.907257448
THE BREW & CUE,12/31/17,"2 - Auto, Restaurant, Retail",34.98493568,-85.28747095,0.969671505
RIGHT NOW PLUMBING,4/6/11,4 - Contractor,34.98493568,-85.28747095,0.781665393
CHASE PAINTING,5/18/11,4 - Contractor,34.98495551,-85.27691802,0.78487395
ALLIANCE ELECTRICAL CONTRACTORS LLC,6/30/03,4 - Contractor,34.98496015,-85.29001215,0.564935065
STATELINE RELINKS,5/1/11,"3 - Service, Misc",34.98502484,-85.28662634,0.783575248
AMERICA'S HEARTH AND PATIO LLC,9/5/14,"2 - Auto, Restaurant, Retail",34.98506974,-85.28745798,0.877005348
U S STOVE FACTORY OUTLET,1/1/95,"2 - Auto, Restaurant, Retail",34.98506974,-85.28745798,0.327960275
BILL ORTWEIN SIGNS INC,6/4/07,4 - Contractor,34.98517104,-85.28621229,0.674560733
KNOTTY WOODCRAFT,8/10/17,"2 - Auto, Restaurant, Retail",34.98526654,-85.27374315,0.958747135
"LOTUS GENERATIONS, LLC.",6/20/17,4 - Contractor,34.98531045,-85.33179692,0.954851031
AMERICAN STAGE CO LLC,4/26/07,"2 - Auto, Restaurant, Retail",34.98549695,-85.33081172,0.67158136
DIRTY DEEDS,1/1/15,4 - Contractor,34.98550981,-85.28677052,0.886019862
FREEMAN BED AND THINGS,4/1/13,"2 - Auto, Restaurant, Retail",34.98550981,-85.28677052,0.837127578
CLYDE'S CORNER RESALE,7/1/08,"2 - Auto, Restaurant, Retail",34.98550981,-85.28677052,0.704583652
SCI REMEDIATION INC,4/1/03,4 - Contractor,34.98556347,-85.29085647,0.558059587
REDBOX AUOTMATED RETAIL LLC,3/30/12,"2 - Auto, Restaurant, Retail",34.98557609,-85.28894584,0.809090909
CVS PHARMACY # 03734,1/1/11,"2 - Auto, Restaurant, Retail",34.98557609,-85.28894584,0.774407945
CVS/PHARMACY #3734,4/1/98,"2 - Auto, Restaurant, Retail",34.98557609,-85.28894584,0.418563789
RIVER CITY AUTO PARTS,5/1/14,"2 - Auto, Restaurant, Retail",34.98561562,-85.29196235,0.867303285
DON'S AUTO SALVAGE AND PARTS,4/1/08,"2 - Auto, Restaurant, Retail",34.98561562,-85.29196235,0.69763178
AYDA CASTRO,11/9/14,"3 - Service, Misc",34.98562188,-85.27361483,0.88197097
HARVEST HOUSE,7/2/18,"3 - Service, Misc, Short Term Rental",34.98572676,-85.33332981,0.983651642
FIRESIDE BOTANICALS,10/1/14,"2 - Auto, Restaurant, Retail",34.98584832,-85.33489008,0.878991597
TN & GA TIRE & SERVICE,10/15/13,"2 - Auto, Restaurant, Retail",34.98584872,-85.28770391,0.852177235
LIP ADVERTISING,2/21/13,"3 - Service, Misc",34.98589401,-85.33053224,0.834148205
GREEN TAMBOURINE,9/1/17,"2 - Auto, Restaurant, Retail",34.98598574,-85.33208941,0.960427807
REMODELING EXPRESS,1/10/18,4 - Contractor,34.98600227,-85.29372638,0.970435447
L & M PARTNERS,1/1/18,"3 - Service, Misc, Short Term Rental",34.98604596,-85.33103632,0.969747899
"LAJADA, INC",4/1/13,"2 - Auto, Restaurant, Retail",34.98604596,-85.33103632,0.837127578
QUALITY FENCE CO INC,10/1/03,4 - Contractor,34.98618123,-85.39230296,0.572039725
ADVANCE AUTO GLASS,3/14/13,"3 - Service, Misc",34.98622074,-85.28308833,0.835752483
COUNCIL FIRE,3/18/92,"2 - Auto, Restaurant, Retail",34.98629234,-85.17342617,0.250114591
VECTOR PRINTING LLC,1/1/11,"3 - Service, Misc",34.98636422,-85.28849461,0.774407945
R PLACE,10/19/17,"2 - Auto, Restaurant, Retail",34.98637289,-85.28742105,0.964094729
BAR (THE),11/1/94,"2 - Auto, Restaurant, Retail",34.98637289,-85.28742105,0.323300229
CUSTOM HOME DEVELOPMENT LLC,5/12/05,4 - Contractor,34.98639798,-85.16466094,0.617035905
"TCI CONTRACTING OF NASHCVILLE, LLC",1/1/18,4 - Contractor,34.98646395,-85.32656155,0.969747899
"TRUE SHINE WINDOW WASHERS, INC",8/1/11,"3 - Service, Misc",34.98648073,-85.33165179,0.790603514
TENNESSEE DRUG EDUCATION AGENCY,3/21/18,"3 - Service, Misc, Short Term Rental",34.98653552,-85.29347746,0.97578304
WILSON'S ROAD SERVICE,9/12/11,"3 - Service, Misc",34.98654534,-85.29188002,0.79381207
HOOKAHBILLYS HOOKAH LOUNGE LLC,2/22/10,"3 - Service, Misc",34.98654601,-85.32987598,0.750496562
KAN METAL RECYCLING,4/1/12,"2 - Auto, Restaurant, Retail",34.98655101,-85.29740753,0.809243697
SEAFOOD KING GENE CARRY OUT AND CATERING,10/16/18,"2 - Auto, Restaurant, Retail",34.98665826,-85.33227547,0.991749427
ST. ELMO CORNER MARKET,8/1/17,"2 - Auto, Restaurant, Retail",34.98665826,-85.33227547,0.958059587
2DAY BARGAINS,5/1/16,"1 - Gas, Grocery, Building Materials",34.98665826,-85.33227547,0.923147441
TIENDA Y TAQUERIA SANTA CRUZ,1/1/15,"2 - Auto, Restaurant, Retail",34.98665826,-85.33227547,0.886019862
FAMILY MARKET,2/1/13,"1 - Gas, Grocery, Building Materials",34.98665826,-85.33227547,0.832620321
AMMAN MARKET,4/1/07,"1 - Gas, Grocery, Building Materials",34.98665826,-85.33227547,0.669671505
T & T MECHANICAL LLC,1/1/14,"3 - Service, Misc",34.98668656,-85.33398005,0.858135982
T & T MECHANICAL,7/1/05,"3 - Service, Misc",34.98668656,-85.33398005,0.620855615
KANILLI ENTERPRISES INC,8/14/17,4 - Contractor,34.9866967,-85.28505854,0.959052712
"CHATTANOOGA JOCKS, INC",5/3/13,"2 - Auto, Restaurant, Retail",34.98670165,-85.16807099,0.839572193
CHATTANOOGA JOCKS,4/30/13,"2 - Auto, Restaurant, Retail",34.98670165,-85.16807099,0.83934301
PURE SIMPLE CONNECTED,3/13/17,"2 - Auto, Restaurant, Retail",34.98672293,-85.33349148,0.947288006
BILLION DOLLAR DECISIONS,5/8/15,"3 - Service, Misc",34.98678821,-85.2825942,0.895721925
BURCHFIELD FOOD SERVICE,8/11/14,"3 - Service, Misc",34.98680611,-85.27236947,0.875095493
TAKE-IT-AWAY WASTE VALET,9/14/11,"3 - Service, Misc",34.98680881,-85.14063593,0.793964859
JONATHAN MULKEY DESIGN,7/22/10,"3 - Service, Misc",34.98680881,-85.14063593,0.761955691
TAYLOR'D SKINCARE AND WAX ROOM,11/29/16,"3 - Service, Misc",34.98681645,-85.32712177,0.93934301
ABS,3/6/06,"3 - Service, Misc",34.98683494,-85.28643027,0.639801375
STOUDT ELECTRIC,3/15/86,4 - Contractor,34.98694081,-85.39251655,0.082429335
NICOLE'S TOUCH,7/13/10,"3 - Service, Misc",34.98697517,-85.33229019,0.761268144
HAIRSTYLES,6/20/10,"3 - Service, Misc",34.98697517,-85.33229019,0.759511077
PERFECT PORTIONS BY CHERI,5/1/17,"2 - Auto, Restaurant, Retail",34.98697961,-85.32222547,0.951031322
PIC AVIATION LLC,10/1/06,"3 - Service, Misc",34.98707521,-85.16694432,0.655767762
JR MASONRY,2/1/17,4 - Contractor,34.98712645,-85.28488071,0.944232238
CHATTANOOGA PADDLEBOARDS CORPORATION,5/1/14,"3 - Service, Misc",34.98713233,-85.33343784,0.867303285
REDBOX AUTOMATED RETAIL LLC,9/26/08,"2 - Auto, Restaurant, Retail",34.98714544,-85.28754303,0.711229947
SCI-BURR.COM,6/1/11,"2 - Auto, Restaurant, Retail",34.98718501,-85.14040999,0.785943468
FASTENAL COMPANY,5/16/05,"1 - Gas, Grocery, Building Materials",34.98722184,-85.28666522,0.617341482
REPICCI'S ITALIAN ICE & GELATO,4/17/17,"2 - Auto, Restaurant, Retail",34.98724969,-85.16241946,0.949961803
WEAVERS FURNITURE & PRODUCE,6/1/10,"1 - Gas, Grocery, Building Materials",34.98726919,-85.28890616,0.758059587
T PAYNE TRUCKING,9/5/18,4 - Contractor,34.98729459,-85.32500602,0.988617265
T PAYNE UPHOLSTERY,4/5/17,"3 - Service, Misc",34.98729459,-85.32500602,0.949045073
RICO MONUMENTS,2/25/86,"2 - Auto, Restaurant, Retail",34.98731274,-85.28832916,0.08105424
CHRIS ELIZONDO HARDWOOD FLOORING,4/20/09,4 - Contractor,34.98736376,-85.33199999,0.72696715
WEEKS PAVING,10/1/00,4 - Contractor,34.98741032,-85.33028171,0.488388083
FULMER AND JOHNSON,9/27/16,4 - Contractor,34.98743546,-85.16591637,0.934530176
CHOO CHOO CRUZERS,5/2/16,"3 - Service, Misc",34.987436,-85.29014966,0.923223835
CHOO CHOO ENTERPRISES,8/16/13,"2 - Auto, Restaurant, Retail",34.987436,-85.29014966,0.847593583
MISS G'S TORTAS & TAMALES,7/1/17,"2 - Auto, Restaurant, Retail",34.9874545,-85.28897476,0.955691367
THE PICNIC BASKET,9/16/16,"2 - Auto, Restaurant, Retail",34.9874545,-85.28897476,0.93368984
FATSO'S BAR-B-QUE & MORE,1/18/13,"2 - Auto, Restaurant, Retail",34.9874545,-85.28897476,0.831550802
CHICAGO SUBS,3/1/12,"2 - Auto, Restaurant, Retail",34.9874545,-85.28897476,0.806875477
JIM BOB'S,9/1/09,"2 - Auto, Restaurant, Retail",34.9874545,-85.28897476,0.737203972
BABY BEARS BATH AND BEYOND,8/1/18,"3 - Service, Misc, Short Term Rental",34.98749666,-85.28167029,0.985943468
J.H OUTDOOR,10/1/10,4 - Contractor,34.98750192,-85.17022495,0.767379679
"AIRSYSTEMS UNLIMITED, LLC",4/20/17,4 - Contractor,34.98760459,-85.32790584,0.950190985
